Worker,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
worker 1,2026-07-27 13:06:56.766,-0.2,-0.32,0.9,-62.5,45.41,-48.22
worker 1,2026-07-27 13:06:56.767,-0.2,-0.32,0.9,-62.5,45.41,-48.22
worker 1,2026-07-27 13:06:56.833,-0.2,-0.4,0.9,-85.82,72.63,-88.56
worker 1,2026-07-27 13:06:56.835,-0.24,-0.57,0.74,-126.59,150.39,-157.41
worker 1,2026-07-27 13:06:56.885,-0.24,-0.57,0.74,-126.59,150.39,-157.41
worker 1,2026-07-27 13:06:56.885,-0.31,-0.73,0.53,-142.58,197.57,-176.7
worker 1,2026-07-27 13:06:56.944,-0.34,-0.76,0.46,-85.94,144.47,-112.06
worker 1,2026-07-27 13:06:56.946,-0.34,-0.76,0.46,-21.36,63.84,-33.63
worker 1,2026-07-27 13:06:57.005,-0.32,-0.76,0.53,-21.36,63.84,-33.63
worker 1,2026-07-27 13:06:57.016,-0.29,-0.74,0.62,11.47,35.95,0.24
worker 1,2026-07-27 13:06:57.019,-0.29,-0.74,0.62,11.47,35.95,0.24
worker 1,2026-07-27 13:06:57.064,-0.26,-0.73,0.65,31.43,47.79,-3.42
worker 1,2026-07-27 13:06:57.065,-0.26,-0.73,0.65,31.43,47.79,-3.42
worker 1,2026-07-27 13:06:57.065,-0.3,-0.74,0.65,41.08,45.96,-23.99
worker 1,2026-07-27 13:06:57.124,-0.3,-0.74,0.65,41.08,45.96,-23.99
worker 1,2026-07-27 13:06:57.124,-0.34,-0.75,0.64,44.25,17.64,-47.55
worker 1,2026-07-27 13:06:57.184,-0.35,-0.72,0.61,39.92,0.18,-57.19
worker 1,2026-07-27 13:06:57.184,-0.37,-0.69,0.56,22.64,4.39,-48.83
worker 1,2026-07-27 13:06:57.244,-0.37,-0.69,0.56,22.64,4.39,-48.83
worker 1,2026-07-27 13:06:57.244,-0.38,-0.71,0.52,4.33,12.57,-34.73
worker 1,2026-07-27 13:06:57.305,-0.38,-0.73,0.5,-5.43,18.98,-25.88
worker 1,2026-07-27 13:06:57.306,-0.38,-0.73,0.5,-11.11,26.43,-23.8
worker 1,2026-07-27 13:06:57.364,-0.39,-0.75,0.46,-11.11,26.43,-23.8
worker 1,2026-07-27 13:06:57.365,-0.42,-0.76,0.42,-17.64,36.87,-25.94
worker 1,2026-07-27 13:06:57.424,-0.46,-0.77,0.36,-28.08,49.62,-31.74
worker 1,2026-07-27 13:06:57.424,-0.49,-0.77,0.28,-37.78,63.23,-41.08
worker 1,2026-07-27 13:06:57.486,-0.49,-0.77,0.28,-37.78,63.23,-41.08
worker 1,2026-07-27 13:06:57.486,-0.53,-0.76,0.14,-40.04,79.83,-45.23
worker 1,2026-07-27 13:06:57.545,-0.57,-0.69,-0.08,-36.19,94.91,-37.17
worker 1,2026-07-27 13:06:57.604,-0.57,-0.54,-0.14,-41.63,106.75,-27.1
worker 1,2026-07-27 13:06:57.605,-0.57,-0.54,-0.14,-41.63,106.75,-27.1
worker 1,2026-07-27 13:06:57.605,-0.59,-0.44,0.09,-66.77,144.47,-21.0
worker 1,2026-07-27 13:06:57.670,-0.63,-0.56,0.44,-76.29,205.08,-8.06
